cNoSc,Customer,Item,TglProduksiTerakhir,StokAwalPc,StokAwalKg,StokAkhirPc,StokAkhirKg,Keterangan
2606/01194,"SIANTAR TOP TBK, PT",DUS FRENCH FRIES PREMIUM PARTY PACK 192 GR ISI 16 PCS KTN/FFP-PARTY/L/16/00,2026-07-03,140,102.8104,140,102.8104,
2606/01200,VICKY FARDIANSYAH,NON WAX - FROZEN FISH K110,2026-07-04,120,30.8928,120,30.8928,TUNGGU JADWAL
2606/01218,"TJAKRINDO MAS,PT",PK-1631 BOX RAM DOUBLE 900 X 1500 TT,2026-07-24,100,70.98,100,70.98,
2606/01243,MITRA ALAM SEGAR,23000946 - KARDUS PFG 175 ML 0725,2026-07-25,750,132.825,750,132.825,
2606/01244,"SEBASTIAN CITRA INDONESIA, PT",7007067006202 KARTON BOX (BOX BUNS),2026-07-19,596,333.03288,596,333.03288,LEBIH PRODUKSI
2606/01256,"AROMA DEWI, CV",TEPUNG CRISPY,2026-07-20,5140,2082.6766,5140,2082.6766,
2606/01263,"SIANTAR TOP TBK, PT",DUS GEMEZ ENAAK NOODLE SNACK CHICKEN BBQ BULKY NON RTG KTN/GENSCB/E/195/00/XIAMENCHINA,2026-07-04,1046,603.50016,1046,603.50016,
2606/01282,AKASHA WIRA INTERNATIONAL PT TBK,(56220501) WRAP AROUND CARTON BOX ADES 600 ML,2026-07-30,1010,284.0019,1010,284.0019,
2607/00002,SUMARNO,POLOS COKLAT UK LUAR 395 X 340 X 250 MM,2026-07-12,350,227.1745,350,227.1745,
2607/00003,"GALAXY PACKINDO, CV",DOS (480 X 200 X 245) TBR 2B - H,2026-07-27,900,300.15,0,0.0,
2607/00017,"LOTUS INDAH TEXTILE INDUSTRIES, PT",LAYER LOTUS 330 X 260,2026-07-09,1500,29.28,1500,29.28,TUNGGU JADWAL
2607/00020,"GALAXY PACKINDO, CV",DOS (370 X 270 X 230) SAUCE 75,2026-07-29,4880,1718.9312,820,288.8368,
2607/00036,PERSEROAN TERBATAS LESAFFRE SARI NUSA,(400011367) CARTON BOX 500G BAKERY DELIGHT CAN2673,2026-07-09,2620,717.3036,2620,717.3036,TUNGGU JADWAL
2607/00037,PERSEROAN TERBATAS LESAFFRE SARI NUSA,(400011231) CARTON BOX 500G BRUGGEMAN CAN2665,2026-07-16,240,65.7072,240,65.7072,TUNGGU JADWAL
2607/00052,"MISSOURI, CV",BOX DOC HM 623 (TOP),2026-07-09,100,18.048,100,18.048,TIDAK SET
2607/00072,"BONDVAST INDO SUKSES, PT",P-NK-12001200-ID SERAT LAYER (GARIS TEKAN / DIECUT),2026-08-01,1720,1411.776,1978,1623.5424,LEBIH PRODUKSI
2607/00077,PT WISMILAK INTI MAKMUR TBK,2000000380 BOX KAKI - 4400,2026-07-27,350,106.372,350,106.372,TUNGGU JADWAL
2607/00078,PT WISMILAK INTI MAKMUR TBK,2000000381 BOX TUTUP - 4400,2026-07-27,500,94.155,500,94.155,TUNGGU JADWAL
2607/00080,CENDRAWASIH DWIMEGA KENCANA,AMDK CENDRAQUA 220 ML,2026-07-07,2000,435.3,2000,435.3,SISA CONTAINER
2607/00083,EVANDER SEBASTIAN THOMAS,BOX SARABATT FARM ANAK AYAM (BODY),2026-07-10,100,52.755,100,52.755,
2607/00086,PERSEROAN TERBATAS LESAFFRE SARI NUSA,(400011366) CARTON BOX 500G SAF INSTANT RED CAN 2696 H246,2026-07-28,980,268.3044,980,268.3044,TUNGGU JADWAL
2607/00088,PERSEROAN TERBATAS LESAFFRE SARI NUSA,(400011232) CARTON BOX 500G SAF INSTANT CAN2667,2026-07-27,1040,284.7312,1040,284.7312,TUNGGU JADWAL
2607/00093,BUANA MAHAYASA SAKTI,BOX 106 GR BOTTOM,2026-07-12,600,153.369,0,0.0,TUNGGU JADWAL
2607/00094,BUANA MAHAYASA SAKTI,BOX 86 GR BOTTOM,2026-07-20,2600,598.598,0,0.0,TUNGGU JADWAL
2607/00099,"ETIKA DAIRIES INDONESIA, PT",CB PB DC 2.5 KG LOKAL NEW HALAL LOGO + PARTISI,2026-07-27,10560,7797.3984,5760,4253.1264,
2607/00130,"PLATINUM CERAMICS INDUSTRY, PT",NFT17 40X40 AT DC KW-B L,2026-08-01,7200,981.288,10800,1471.932,
2607/00142,SRI YULIANA,FROZEN FISH POLOS 110 / 110 / 110,2026-07-13,1460,375.8624,1460,375.8624,
2607/00158,"INTIDRAGON SURYATAMA, PT",DOS PROATT BTSN 12 35/38 71 X 48 X 28.5 CM,2026-07-10,105,134.9103,105,134.9103,LEBIH PRODUKSI
2607/00161,CHAROEN POKPHAND JAYA FARM.PT,DOC CP707 (BOTTOM),2026-07-27,2300,813.027,2300,813.027,LEBIH PRODUKSI
2607/00191,"SIANTAR TOP TBK, PT",DUS TIC-TIC BAWANG SAMCOL CBP 2000 LOKAL 60 PCS KTN/TIC-SC-NEW/L/60/00,2026-07-13,551,205.07118,551,205.07118,LEBIH PRODUKSI
2607/00192,"SIANTAR TOP TBK, PT",DUS TIC-TIC BAWANG HANGOUT PACK LOKAL KTN/NEW-TIC-BWG/HOP/20/00,2026-07-14,320,217.696,320,217.696,
2607/00203,"SARIMURNI JAYA, PT",DUS 15000 MOMOGI FUN SNACK PS1167,2026-07-17,1954,1079.60454,1954,1079.60454,
2607/00215,"INTIDRAGON SURYATAMA, PT",DOS PROATT BTSN 12 31/34 65X44X26 CM,2026-07-17,77,83.31169,77,83.31169,LEBIH PRODUKSI
2607/00216,"INTIDRAGON SURYATAMA, PT",DOS PROATT LD 12 67X47.5X30 CM,2026-07-22,126,157.69404,126,157.69404,
2607/00217,"INTIDRAGON SURYATAMA, PT",DOS PROATT NGLT 12 35/38 68X46X28.5 CM,2026-07-19,163,195.73203,163,195.73203,LEBIH PRODUKSI
2607/00218,"INTIDRAGON SURYATAMA, PT",CARTON BOX ATT PHL 30/33 33X32X23,2026-07-20,90,46.7847,90,46.7847,LEBIH PRODUKSI
2607/00219,"INTIDRAGON SURYATAMA, PT",CARTON BOX ATT PHL 38/41 39X37X28.5,2026-07-17,80,57.2056,80,57.2056,LEBIH PRODUKSI
2607/00234,KOPERASI PESANTREN LATANSA PONDOK MODERN GONTOR,AMDK AMIDAS GONTOR 48 X 220 ML + LYR,2026-07-19,520,116.7764,520,116.7764,TUNGGU JADWAL
2607/00236,"SARIMURNI JAYA, PT",CARTON BOX 1000 CRISCITO TIKAR (CRISPY SNACK) 8X10X10G (PS1219),2026-07-21,8570,2851.239,8570,2851.239,
2607/00238,"SARIMURNI JAYA, PT",DUS 005 YALE ST2BLT (16 X 10 X 6 G) PS1035,2026-07-18,4540,1110.8472,4540,1110.8472,TUNGGU JADWAL
2607/00247,"ARISU INDONESIA, PT","ULI D01 UK1, BOX",2026-07-28,1426,855.35758,1426,855.35758,TUNGGU JADWAL
2607/00248,"ARISU INDONESIA, PT","ULI D01 UK1, COVER",2026-07-28,435,86.44755,435,86.44755,TUNGGU JADWAL
2607/00251,"SATORIA ANEKA INDUSTRI, PT",KARTON BOX COKLAT SATORIA PHARMA 100 ML ISI 40 (KBXXE03AB25-0002),2026-07-29,7770,3460.758,7770,3460.758,
2607/00267,PERSEROAN TERBATAS LESAFFRE SARI NUSA,(400011607) CARTON BOX 500G DCL CAN2695,2026-07-18,1000,281.41,1000,281.41,TUNGGU JADWAL
2607/00268,PERSEROAN TERBATAS LESAFFRE SARI NUSA,(400011382) CARTON BOX 500G FERMIPAN CAN2666,2026-07-31,880,240.9264,880,240.9264,TUNGGU JADWAL
2607/00285,"KARYA INDAH MULTIGUNA, PT",1210608 CC RSC RAID COILS GREEN 4 X 50G / 48 UN AR,2026-07-31,1800,501.408,0,0.0,LEBIH PRODUKSI
2607/00286,"KARYA INDAH MULTIGUNA, PT",1265578 RSC BAYGON BASE COIL LAV12S SHK 6/6TH,2026-07-31,10500,8287.545,0,0.0,
2607/00287,"KARYA INDAH MULTIGUNA, PT",1210624 RSC RAID COIL CNTRYFRSH 12/150G/24U,2026-07-31,1500,593.55,0,0.0,
2607/00294,"KEONG NUSANTARA ABADI, PT",MY JELLY SK 14 GR X 30 CUPS X 12 NEW,2026-07-11,1560,561.3348,1560,561.3348,TIDAK SET
2607/00295,"KEONG NUSANTARA ABADI, PT",MY JELLY SK 14 GR X 5 CUPS X 60 BAGS + LAYER,2026-07-14,250,73.34,250,73.34,TIDAK SET
2607/00311,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR5SD050) CART 5S RM TS GR 60 X 30 KW I,2026-07-14,1450,343.157,1450,343.157,
2607/00314,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR5SD139) CART 5S RM GR 80 X 80 GRADE A,2026-07-19,300,157.308,300,157.308,
2607/00322,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR4SD053) CART 4S RM 40 X 40 KW I NEW,2026-07-30,7600,1007.988,7600,1007.988,
2607/00323,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR5SD078) CART 5S THICK TILE RM TS GR 60 X 60 KW I,2026-07-28,4375,1608.11875,800,294.056,
2607/00324,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR4SD071) CART 4S RM FT 30 X 30 KW I GCT B1B 11PC,2026-07-31,11394,1386.30798,0,0.0,KURANG KIRIM
2607/00326,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR5SD053) CART 5S RM TS GR 60 X 60 KW II,2026-07-28,2025,686.25225,2025,686.25225,KURANG KIRIM
2607/00327,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR5SD144) CART 5S RM GRANIT 60 X 15 GRADE A,2026-07-30,1400,311.332,1400,311.332,
2607/00328,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR5SD049) CART 5S RM TS GR 60 X 60 KW I,2026-07-27,875,296.52875,475,160.97275,KURANG KIRIM
2607/00329,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR5SD145) CART 5S RM GRANIT 60 X 15 GRADE B,2026-07-30,100,22.238,100,22.238,
2607/00332,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR5SD238) CART 5S RM GRANIT 100 X 100 GRADE B,2026-07-30,4575,3375.8925,2950,2176.805,
2607/00333,"SUKSES MITRA INDO,PT",W528 MANGKUK SUP GELOMBANG TIMBUL,2026-07-30,525,483.98175,0,0.0,
2607/00338,"DUA KELINCI, PT",(4071175) BOX KUACI FUZO 130G OPT,2026-07-31,-20,-9.3594,0,0.0,
2607/00371,KARUNIA INDAH SEGAR,43000085 - KD POWER F GRP 175 ML ND 1125,2026-07-19,6338,1107.43874,6338,1107.43874,
2607/00376,"SEKAR BUMI TBK, PT",MC WATERFRONT BISTRO CPND 5X2 LBS 91/110 (COS),2026-07-29,70,31.1766,70,31.1766,
