SPS/2604/00212-B02,1461.9852000
SPS/2605/01068-B01,1458.1632000
SPS/2606/00361-B01,1453.5840000
SPS/2605/00935-B01,1451.0980000
SPS/2605/00955-F01,1440.0000000
SPS/2605/00721-B01,1439.6130000
SPS/2606/00193-S01,1438.1892000
SPS/2605/00876-B05,1436.2590000
SPS/2606/00008-B01,1428.5500000
SPS/2605/00284-B01,1412.0952000
SPS/2603/00544-B04,1410.1758000
SPS/2604/01317-B01,1396.8700000
SPS/2605/00463-B01,1396.8700000
SPS/2605/00899-B01,1384.7520000
SPS/2605/00846-B01,1384.0750000
SPS/2606/00105-B01,1382.9660000
SPS/2606/00049-B01,1382.4692000
SPS/2606/00372-B01,1382.4692000
SPS/2606/00053-B01,1380.8640000
SPS/2604/01305-B01,1379.6730600
SPS/2606/00362-B01,1365.9096000
SPS/2605/01114-B01,1363.9710000
SPS/2605/01165-B01,1359.6800000
SPS/2605/00705-L01,1354.5000000
SPS/2603/00755-B01,1344.6571600
SPS/2605/00883-PB0101,1338.4000000
SPS/2606/00365-B01,1336.9336000
SPS/2606/00149-S01,1330.5600000
SPS/2605/01134-S01,1326.5096000
SPS/2605/00448-B01,1323.5560000
SPS/2606/00143-S01,1322.0172000
SPS/2606/00208-TB01,1318.8750000
SPS/2606/00084-B01,1314.0877500
SPS/2605/00886-B01,1313.9436000
SPS/2606/00394-S01,1309.1424000
SPS/2605/00996-B01,1305.1824000
SPS/2606/00045-B01,1301.2140000
SPS/2605/00788-B01,1295.7595600
SPS/2606/00343-S01,1293.3480000
SPS/2605/00887-B01,1279.4600000
SPS/2606/00190-S01,1278.8160000
SPS/2605/00741-B01,1277.4720000
SPS/2605/01077-L01,1275.9890000
SPS/2604/00284-B01,1275.1000000
SPS/2606/00043-B01,1274.8392000
SPS/2605/01079-B01,1273.3490000
SPS/2605/00848-B01,1273.3490000
SPS/2605/00937-B01,1267.6048000
SPS/2604/01216-B08,1267.3840000
SPS/2606/00309-B01,1257.5325000
SPS/2606/00307-B01,1251.7026000
SPS/2605/01067-B01,1251.3848000
SPS/2605/00998-B01,1251.2640000
SPS/2605/00960-B01,1250.5248000
SPS/2606/00213-B01,1250.1854000
SPS/2606/00192-S01,1245.1072000
SPS/2606/00273-B01,1221.5724000
SPS/2605/01025-B01,1215.8482000
SPS/2603/00922-B02,1214.6200000
SPS/2606/00218-B01,1211.8890000
SPS/2603/01074-B01,1204.2574000
SPS/2605/00578-B01,1196.9360000
SPS/2605/00363-B02,1194.9900000
SPS/2605/01088-B01,1191.4207000
SPS/2606/00123-B01,1190.4552000
SPS/2605/01128-S01,1185.6936000
SPS/2606/00141-S01,1185.2602000
SPS/2603/00556-B01,1179.2000000
SPS/2605/00943-B01,1177.0920000
SPS/2605/01139-B01,1177.0920000
SPS/2605/00994-B01,1174.3702000
SPS/2605/00971-B01,1173.2760000
SPS/2606/00384-S01,1171.0394000
SPS/2605/00877-B01,1164.1536000
SPS/2606/00106-B01,1163.9296000
SPS/2605/00983-B01,1163.2320000
SPS/2605/00927-B01,1157.4348000
SPS/2605/01061-B01,1155.2152500
SPS/2606/00148-S01,1152.9060000
SPS/2605/00397-B01,1150.9891400
SPS/2605/01143-B01,1148.8256000
SPS/2605/01064-B01,1147.7720000
SPS/2603/00627-B01,1147.5660000
SPS/2606/00169-B01,1144.3732000
SPS/2604/01007-B01,1141.0600000
SPS/2605/00800-B02,1138.8096000
SPS/2605/00849-L01,1138.0000000
SPS/2604/00065-B01,1133.1540000
SPS/2605/00977-S01,1131.7656000
SPS/2605/01164-B01,1120.5596500
SPS/2605/00573-B01,1118.2800000
SPS/2606/00018-B01,1117.1800500
SPS/2605/00763-B01,1115.7327000
SPS/2605/01045-B01,1101.4452500
SPS/2605/00879-B01,1099.4784000
SPS/2606/00214-B01,1098.0270000
SPS/2605/00867-B01,1093.4175000
SPS/2606/00066-B01,1090.1352000
SPS/2606/00161-B01,1078.6632000
SPS/2605/01052-B01,1077.9480000
SPS/2606/00211-TT01,1067.0350000
SPS/2605/00257-B02,1060.0860000
SPS/2605/01062-B01,1059.7800000
SPS/2605/00593-B01,1059.1191000
SPS/2605/00685-B01,1056.9048300
SPS/2606/00203-L01,1051.9740000
SPS/2604/00066-B01,1047.3090000
